SAT,WL(um),PW(cm),PHASE,COD,VZA(deg),SZA(deg),Reff(um),Topdown(W/m2),L30(W/m2/sr),L150(W/m2/sr),R30,R150
GOES13,3.9,6,water,50,10,0,2.0,3244.605,334.1689148,334.1689148,0.323559449545863,0.323559449545863
GOES13,3.9,6,water,50,10,0,2.5,3244.605,314.7641907,314.7641907,0.304770802336881,0.304770802336881
GOES13,3.9,6,water,50,10,0,3.0,3244.605,295.9492188,295.9492188,0.286553183397584,0.286553183397584
GOES13,3.9,6,water,50,10,0,3.5,3244.605,278.9665527,278.9665527,0.270109696730292,0.270109696730292
GOES13,3.9,6,water,50,10,0,4.0,3244.605,264.1512451,264.1512451,0.255764757510624,0.255764757510624
GOES13,3.9,6,water,50,10,0,4.5,3244.605,251.5327454,251.5327454,0.243546880155184,0.243546880155184
GOES13,3.9,6,water,50,10,0,5.0,3244.605,241.0012665,241.0012665,0.23334976317371,0.23334976317371
GOES13,3.9,6,water,50,10,0,5.5,3244.605,232.3345032,232.3345032,0.224958159291672,0.224958159291672
GOES13,3.9,6,water,50,10,0,6.0,3244.605,225.1886444,225.1886444,0.218039173002225,0.218039173002225
GOES13,3.9,6,water,50,10,0,6.5,3244.605,219.121582,219.121582,0.212164732611265,0.212164732611265
GOES13,3.9,6,water,50,10,0,7.0,3244.605,213.654068,213.654068,0.2068708056723,0.2068708056723
GOES13,3.9,6,water,50,10,0,7.5,3244.605,208.3501129,208.3501129,0.201735244832959,0.201735244832959
GOES13,3.9,6,water,50,10,0,8.0,3244.605,202.8771057,202.8771057,0.196435999096556,0.196435999096556
GOES13,3.9,6,water,50,10,0,8.5,3244.605,197.0296326,197.0296326,0.190774176306717,0.190774176306717
GOES13,3.9,6,water,50,10,0,9.0,3244.605,190.7230835,190.7230835,0.1846678526334,0.1846678526334
GOES13,3.9,6,water,50,10,0,9.5,3244.605,183.9670258,183.9670258,0.178126291723043,0.178126291723043
GOES13,3.9,6,water,50,10,0,10.0,3244.605,176.8352814,176.8352814,0.171220971718198,0.171220971718198
GOES13,3.9,6,water,50,10,0,10.5,3244.605,169.4371948,169.4371948,0.164057765561152,0.164057765561152
