Lidar_CloudFraction,Time
--,2013-12-23 00:05:00
--,2013-12-23 00:15:00
--,2013-12-23 00:25:00
--,2013-12-23 00:35:00
--,2013-12-23 00:45:00
--,2013-12-23 00:55:00
--,2013-12-23 01:05:00
--,2013-12-23 01:15:00
--,2013-12-23 01:25:00
--,2013-12-23 01:35:00
--,2013-12-23 01:45:00
--,2013-12-23 01:55:00
--,2013-12-23 02:05:00
--,2013-12-23 02:15:00
--,2013-12-23 02:25:00
--,2013-12-23 02:35:00
--,2013-12-23 02:45:00
--,2013-12-23 02:55:00
--,2013-12-23 03:05:00
--,2013-12-23 03:15:00
--,2013-12-23 03:25:00
--,2013-12-23 03:35:00
--,2013-12-23 03:45:00
--,2013-12-23 03:55:00
--,2013-12-23 04:05:00
--,2013-12-23 04:15:00
--,2013-12-23 04:25:00
--,2013-12-23 04:35:00
--,2013-12-23 04:45:00
--,2013-12-23 04:55:00
--,2013-12-23 05:05:00
--,2013-12-23 05:15:00
--,2013-12-23 05:25:00
--,2013-12-23 05:35:00
--,2013-12-23 05:45:00
--,2013-12-23 05:55:00
--,2013-12-23 06:05:00
--,2013-12-23 06:15:00
--,2013-12-23 06:25:00
--,2013-12-23 06:35:00
--,2013-12-23 06:45:00
--,2013-12-23 06:55:00
--,2013-12-23 07:05:00
--,2013-12-23 07:15:00
--,2013-12-23 07:25:00
--,2013-12-23 07:35:00
--,2013-12-23 07:45:00
--,2013-12-23 07:55:00
--,2013-12-23 08:05:00
--,2013-12-23 08:15:00
--,2013-12-23 08:25:00
--,2013-12-23 08:35:00
--,2013-12-23 08:45:00
--,2013-12-23 08:55:00
--,2013-12-23 09:05:00
--,2013-12-23 09:15:00
--,2013-12-23 09:25:00
--,2013-12-23 09:35:00
--,2013-12-23 09:45:00
--,2013-12-23 09:55:00
--,2013-12-23 10:05:00
--,2013-12-23 10:15:00
--,2013-12-23 10:25:00
--,2013-12-23 10:35:00
--,2013-12-23 10:45:00
--,2013-12-23 10:55:00
--,2013-12-23 11:05:00
--,2013-12-23 11:15:00
--,2013-12-23 11:25:00
--,2013-12-23 11:35:00
--,2013-12-23 11:45:00
--,2013-12-23 11:55:00
--,2013-12-23 12:05:00
--,2013-12-23 12:15:00
--,2013-12-23 12:25:00
--,2013-12-23 12:35:00
--,2013-12-23 12:45:00
--,2013-12-23 12:55:00
--,2013-12-23 13:05:00
--,2013-12-23 13:15:00
--,2013-12-23 13:25:00
--,2013-12-23 13:35:00
--,2013-12-23 13:45:00
--,2013-12-23 13:55:00
--,2013-12-23 14:05:00
--,2013-12-23 14:15:00
--,2013-12-23 14:25:00
--,2013-12-23 14:35:00
--,2013-12-23 14:45:00
--,2013-12-23 14:55:00
--,2013-12-23 15:05:00
0.599503,2013-12-23 15:15:00
0.793902,2013-12-23 15:25:00
0.854839,2013-12-23 15:35:00
0.976172,2013-12-23 15:45:00
0.966585,2013-12-23 15:55:00
0.97557,2013-12-23 16:05:00
0.98127,2013-12-23 16:15:00
0.992874,2013-12-23 16:25:00
0.987332,2013-12-23 16:35:00
0.987332,2013-12-23 16:45:00
0.988609,2013-12-23 16:55:00
0.984528,2013-12-23 17:05:00
0.984528,2013-12-23 17:15:00
0.985726,2013-12-23 17:25:00
0.99683,2013-12-23 17:35:00
0.977795,2013-12-23 17:45:00
0.959283,2013-12-23 17:55:00
0.9511,2013-12-23 18:05:00
0.970684,2013-12-23 18:15:00
0.980967,2013-12-23 18:25:00
0.988889,2013-12-23 18:35:00
0.988889,2013-12-23 18:45:00
0.95762,2013-12-23 18:55:00
0.766477,2013-12-23 19:05:00
0.446705,2013-12-23 19:15:00
0.366587,2013-12-23 19:25:00
0.516231,2013-12-23 19:35:00
0.821712,2013-12-23 19:45:00
0.758958,2013-12-23 19:55:00
0.453583,2013-12-23 20:05:00
0.117982,2013-12-23 20:15:00
0.0,2013-12-23 20:25:00
0.00712589,2013-12-23 20:35:00
0.0190024,2013-12-23 20:45:00
0.0211554,2013-12-23 20:55:00
0.0138324,2013-12-23 21:05:00
0.00162734,2013-12-23 21:15:00
0.0,2013-12-23 21:25:00
0.0,2013-12-23 21:35:00
0.0,2013-12-23 21:45:00
0.0,2013-12-23 21:55:00
0.0,2013-12-23 22:05:00
0.0,2013-12-23 22:15:00
