CloudFraction,Count,Time
1.0,7.0,2013-11-17 04:50:07.597761000
1.0,326.0,2013-11-17 04:50:16.419833000
0.7472727272727273,22.0,2013-11-17 17:13:21.758214000
1.0,44.0,2013-11-18 03:55:05.027241000
1.0,73.0,2013-11-18 03:55:13.050804000
0.9552083333333333,384.0,2013-11-18 16:18:15.920439000
1.0,475.0,2013-11-19 04:38:02.623475000
1.0,173.0,2013-11-19 17:01:07.269506000
1.0,231.0,2013-11-20 16:06:03.786730000
0.8267285382830626,431.0,2013-11-21 04:25:49.863813000
0.27075907590759074,303.0,2013-11-21 16:48:54.450872000
1.0,145.0,2013-11-22 05:08:40.730443000
1.0,133.0,2013-11-22 15:53:51.365699000
0.9997080291970804,274.0,2013-11-23 04:13:36.720175000
0.9591228070175438,456.0,2013-11-23 16:36:41.398026000
0.24421875,256.0,2013-11-24 04:56:28.044980000
1.0,158.0,2013-11-25 04:01:23.127285000
0.4899122807017544,456.0,2013-11-25 16:24:28.250585999
1.0,414.0,2013-11-26 04:44:14.881791000
1.0,133.0,2013-11-26 17:07:19.481292000
0.9893687707641196,301.0,2013-11-27 16:12:15.042623000
0.13347107438016528,484.0,2013-11-28 04:32:01.340379000
0.6046913580246913,162.0,2013-11-28 16:55:03.158982000
0.5808695652173913,69.0,2013-11-28 16:55:11.364137000
1.0,112.0,2013-11-29 05:14:51.528213000
1.0,158.0,2013-11-29 16:00:01.130520000
1.0,16.0,2013-11-29 16:00:09.502552000
1.0,355.0,2013-11-30 04:19:47.472512000
0.9804166666666667,384.0,2013-11-30 16:42:51.854875000
1.0,193.0,2013-12-01 05:02:38.170677000
1.0,46.0,2013-12-01 15:47:48.047593000
1.0,209.0,2013-12-02 04:07:33.406381000
0.9136755646817248,487.0,2013-12-02 16:30:38.009447000
1.0,332.0,2013-12-03 04:50:24.499538000
1.0,20.0,2013-12-03 17:13:28.942069000
1.0,119.0,2013-12-04 03:55:19.051641000
0.9605221932114882,383.0,2013-12-04 16:18:24.010481000
0.8951054852320675,474.0,2013-12-05 04:38:10.324089000
0.5586206896551724,174.0,2013-12-05 17:01:14.467187000
0.25316017316017314,231.0,2013-12-06 16:06:09.969375000
0.2362877030162413,431.0,2013-12-07 04:25:55.726327000
0.5499337748344371,302.0,2013-12-07 16:48:59.826436000
1.0,146.0,2013-12-08 05:08:45.740449000
0.9996992481203008,133.0,2013-12-08 15:53:55.739718000
