Long_LW_CloudFraction,Long_SW_CloudFraction,Time,XL_CloudAlbedo,XL_CloudAlbedoCorrected,XL_CloudFraction,XL_CloudFractionCorrected,TSI_CloudFraction,Lidar_CloudFraction
0.63,0.98,2013-12-23 16:55:00,0.4537158510226683,0.4030250475783797,0.9913682910626288,1.1160584449007296,1.0,0.988609
0.54,1.0,2013-12-23 17:05:00,0.5443150033428694,0.4838371478730949,0.995369802383671,1.1197873493044934,1.0,0.984528
0.63,1.0,2013-12-23 17:15:00,0.5678480884222049,0.5051649606727157,0.995418133005593,1.1189340671120611,1.0,0.984528
0.45,0.55,2013-12-31 18:55:00,0.6259069887795687,0.564310697694226,0.8814630508481229,0.9776775207897066,0.90681,0.42799
0.75,0.91,2013-12-31 19:05:00,0.6668518448410364,0.6024031821906463,0.9982486963279752,1.1050472581099289,0.881739,0.587469
0.38,0.86,2013-12-31 19:15:00,0.5269844320655088,0.4770296602690133,0.8776418882597657,0.9695489621770098,0.803116,0.825061
0.46,1.0,2013-12-31 19:25:00,0.5826274658259274,0.5285267674848608,0.9609467987772571,1.0593105829425522,0.904545,0.920823
0.0,0.46,2014-01-24 15:15:00,,,,,0.988708,0.368078
0.38,0.14,2014-02-28 16:05:00,,,,,0.947628,0.534824
0.68,0.79,2014-02-28 16:15:00,0.2503504063115824,0.22110980510741315,0.5112197684195905,0.5788258764742885,0.928216,0.660653
0.7,1.0,2014-02-28 20:45:00,0.6450137320242172,0.5948115987167748,0.9952681660659366,1.0792688568011,0.83437,0.806856
0.55,1.0,2014-02-28 20:55:00,0.5627047782719521,0.5204282010187732,0.9885004783802862,1.0688005404392618,0.925764,0.713918
0.82,1.0,2014-02-28 21:05:00,0.5444477144183717,0.5050454638772509,1.000000010345236,1.0780172459545887,0.976127,0.625
0.95,1.0,2014-02-28 21:15:00,0.6797521114348447,0.6324717878162087,1.000000000000135,1.074754834175255,0.982026,0.501296
0.88,1.0,2014-02-28 21:25:00,0.7412703037261963,0.6918361407048773,1.0,1.0714535713195799,0.973494,0.473064
0.88,--,2014-02-28 21:35:00,0.7667748928070068,0.7178736781861145,1.0,1.0681195259094238,0.957692,0.374579
0.89,--,2014-02-28 21:45:00,0.7401381576975119,0.6951226180617077,0.9981096982955932,1.0627464192381382,0.968477,0.226734
0.63,--,2014-02-28 21:55:00,,,,,0.923759,0.0435169
0.63,--,2014-02-28 22:05:00,,,,,--,0.00179372
0.63,--,2014-02-28 22:15:00,,,,,--,0.0305206
0.0,1.0,2014-03-01 20:35:00,0.6818094756219661,0.6269803277106578,0.9986163973809296,1.0859449525823053,0.9617,0.527242
0.63,--,2014-03-03 10:15:00,,,,,--,0.838627
0.63,--,2014-03-03 10:25:00,,,,,0.775395,0.831386
0.88,--,2014-03-03 10:35:00,,,,,0.788381,0.893155
0.75,--,2014-03-03 10:45:00,0.5440834560445644,0.5112128646264105,0.9979424582686544,1.0621093857354529,0.789399,0.956594
0.55,--,2014-03-03 10:55:00,0.4814226421931663,0.4509097968094869,0.9935490161872484,1.0607819921095636,0.730207,0.932189
